Trabajador;Cédula;Fecha;Entrada;Salida;Minutos Tarde;Observación
Ana Torres;92891289;2025-05-05;08:08;15:40;38;Tarde
Laura Gomez;81816661;2025-03-08;08:27;16:05;57;Tarde
Samuel Bernal;39727085;2025-08-12;08:22;16:14;52;Tarde
David Morales;36541862;2025-07-23;07:56;16:13;26;Tarde
Ana Torres;82525500;2025-08-14;07:49;15:44;19;Tarde
Santiago Puerta;21025964;2025-01-31;08:04;15:57;34;Tarde
David Morales;24675781;2025-01-10;08:15;15:52;45;Tarde
Samuel Bernal;27307308;2025-06-05;08:01;16:30;31;Tarde
Maria Sanchez;34566260;2025-03-16;08:20;16:06;50;Tarde
Maria Sanchez;70149874;2025-03-12;07:30;15:50;0;-
Harrison Rengifo;41521817;2025-03-05;08:12;16:30;42;Tarde
Carlos Perez;53877711;2025-05-26;08:29;16:18;59;Tarde
Santiago Puerta;41179609;2025-03-26;08:02;16:25;32;Tarde
Samuel Bernal;84660184;2025-06-26;07:43;16:04;13;Tarde
Ana Torres;99800463;2025-06-30;08:17;16:05;47;Tarde
Santiago Puerta;71662385;2025-02-27;07:56;15:32;26;Tarde
Cristian Sierra;53395374;2025-05-17;08:22;16:48;52;Tarde
Cristian Sierra;90437655;2025-08-23;08:10;16:28;40;Tarde
David Morales;29969830;2025-03-28;07:33;15:35;3;Tarde
Cristian Sierra;14078180;2025-05-04;08:23;16:33;53;Tarde
Carlos Perez;56991634;2025-07-30;08:02;16:02;32;Tarde
Ana Torres;26893793;2025-01-18;07:44;16:14;14;Tarde
Carlos Perez;91930975;2025-02-19;07:32;15:10;2;Tarde
Santiago Puerta;74699978;2025-01-11;07:31;15:14;1;Tarde
Carlos Perez;59158301;2025-05-31;07:34;16:00;4;Tarde
David Morales;97013436;2025-05-16;07:35;15:37;5;Tarde
Sebastian Garcia;69148830;2025-01-06;08:16;16:15;46;Tarde
Laura Gomez;79511116;2025-04-23;08:25;16:21;55;Tarde
Laura Gomez;21808545;2025-07-27;08:17;16:30;47;Tarde
David Morales;26307036;2025-02-15;07:50;16:16;20;Tarde
David Morales;63772826;2025-08-04;07:36;15:31;6;Tarde
Sebastian Garcia;58742924;2025-07-07;07:33;15:07;3;Tarde
Cristian Sierra;85873565;2025-04-16;07:59;15:39;29;Tarde
Maria Sanchez;87464090;2025-07-12;07:32;15:07;2;Tarde
Sebastian Garcia;19328997;2025-08-27;08:00;16:09;30;Tarde
Samuel Bernal;53630045;2025-08-24;07:58;16:26;28;Tarde
Carlos Perez;42835180;2025-05-09;07:50;16:07;20;Tarde
Maria Sanchez;17283445;2025-08-26;08:21;16:36;51;Tarde
Sebastian Garcia;40736447;2025-07-13;08:13;15:52;43;Tarde
Harrison Rengifo;81928873;2025-03-30;07:56;15:44;26;Tarde
David Morales;92238562;2025-03-30;08:17;16:05;47;Tarde
Carlos Perez;33795488;2025-06-19;08:04;16:16;34;Tarde
Maria Sanchez;81685978;2025-08-28;07:46;16:13;16;Tarde
Samuel Bernal;91914419;2025-03-24;07:31;15:40;1;Tarde
Carlos Perez;75213230;2025-08-21;08:24;16:38;54;Tarde
Ana Torres;93199585;2025-07-30;08:08;16:17;38;Tarde
Carlos Perez;48147074;2025-07-12;07:32;15:14;2;Tarde
Samuel Bernal;56535341;2025-03-25;07:45;16:03;15;Tarde
Harrison Rengifo;17914589;2025-04-05;07:43;15:50;13;Tarde
Samuel Bernal;30181455;2025-06-10;08:16;15:50;46;Tarde
Harrison Rengifo;93988693;2025-01-24;07:32;15:08;2;Tarde
Laura Gomez;25276189;2025-08-23;07:43;15:13;13;Tarde
David Morales;98798691;2025-06-10;07:53;15:43;23;Tarde
Samuel Bernal;99116518;2025-06-29;08:26;16:44;56;Tarde
Ana Torres;31357732;2025-01-19;07:50;15:49;20;Tarde
