id_usuario,nombre,fecha,hora_entrada,hora_salida,area,rol
1,Matilde Abad-Soria,2025-06-27,09:43,17:06,TI,Practicante
2,Carmelita Villar Padilla,2025-09-08,08:04,18:09,Producción,Practicante
3,Aránzazu Paredes,2025-09-14,08:25,18:04,Recursos Humanos,Supervisor
4,Guiomar Rivas,2025-07-09,08:24,18:23,Ventas,Gerente
5,Teófila Cobos Casanova,2025-08-13,09:49,17:50,Logística,Supervisor
6,Heliodoro Noguera Escalona,2025-07-19,08:47,17:24,Recursos Humanos,Empleado
7,Tomasa Porras Samper,2025-08-02,08:26,17:23,Producción,Practicante
8,Tomás Blasco Clavero,2025-07-04,08:49,18:59,Producción,Practicante
9,Pastora Nicolau,2025-08-09,08:03,18:26,Logística,Practicante
10,Desiderio del Briones,2025-07-24,08:48,18:28,TI,Empleado
11,Cintia Bartolomé-Palacio,2025-07-17,09:20,18:22,Contabilidad,Supervisor
12,Adoración Llopis-Burgos,2025-09-17,09:37,17:41,Logística,Supervisor
13,Nadia Mireia Mur Marín,2025-08-07,09:22,18:13,Logística,Supervisor
14,Jose Angel Capdevila-Roda,2025-08-12,08:37,18:38,TI,Gerente
15,Ana Alsina Torrecilla,2025-07-01,08:13,17:12,Logística,Practicante
16,Florentino Nebot-Escobar,2025-08-12,09:00,18:25,Logística,Practicante
17,Leire Blanch Suarez,2025-08-10,08:42,17:19,Logística,Gerente
18,Goyo Morante Diego,2025-09-01,09:17,18:06,TI,Empleado
19,Coral Jovita Álvarez Talavera,2025-08-09,09:33,17:56,Contabilidad,Empleado
20,Virginia Carmelita Nogueira Sarabia,2025-07-19,09:46,17:47,Recursos Humanos,Empleado
21,Maura Clemente Gallardo,2025-08-19,09:21,18:33,Contabilidad,Empleado
22,Darío Sevillano Palau,2025-07-10,08:34,17:16,Producción,Supervisor
23,Martin Bastida Murcia,2025-07-26,08:30,18:03,Recursos Humanos,Supervisor
24,Cosme Cid Baquero,2025-09-10,08:08,17:37,Recursos Humanos,Gerente
25,Demetrio Fuentes Pazos,2025-07-16,08:08,18:07,TI,Supervisor
26,Amado Bustos Puga,2025-07-05,09:19,17:05,Recursos Humanos,Supervisor
27,Gervasio Sobrino Tena,2025-09-01,08:18,17:53,TI,Supervisor
28,Flor Alemany Borja,2025-09-04,08:44,18:03,TI,Practicante
29,Jesús Lope Sala Cabello,2025-09-12,09:51,17:34,Logística,Empleado
30,Carla Vilar-Cobo,2025-08-02,09:17,17:47,TI,Supervisor
31,Coral Cortina-Vives,2025-07-26,08:13,18:24,Producción,Supervisor
32,Eustaquio de Cerezo,2025-07-26,09:29,17:07,Logística,Practicante
33,Zacarías Mayol Cordero,2025-08-13,09:13,18:49,Logística,Supervisor
34,Eva María Aragón Nuñez,2025-07-09,09:19,18:21,Recursos Humanos,Empleado
35,Guadalupe Pulido Ortega,2025-07-18,09:50,17:37,TI,Empleado
36,Maricela Casals,2025-07-01,08:19,17:08,Producción,Empleado
37,Gastón Ramis Valle,2025-08-12,08:20,18:56,Logística,Practicante
38,José Ángel Riquelme Nicolás,2025-08-02,08:53,17:27,Logística,Gerente
39,Benigna Nevado Paredes,2025-08-02,08:54,17:46,Producción,Gerente
40,Lucas Báez Cuéllar,2025-08-20,08:49,18:37,Logística,Practicante
41,Leonel Villena Espejo,2025-07-07,08:04,17:31,Contabilidad,Supervisor
42,Irma Valencia Cases,2025-08-05,08:33,17:51,Logística,Practicante
43,Aurelio Cobo Valenciano,2025-07-31,08:37,18:56,Logística,Gerente
44,Leandro Estévez Carpio,2025-08-05,09:51,18:09,Producción,Practicante
45,Ricardo Abad Roma,2025-09-03,09:02,17:25,Producción,Empleado
